"n","rho","k","method","rej"
"1",8,0,1,"pearson",0.0506666666666667
"2",15,0,1,"pearson",0.0476666666666667
"3",25,0,1,"pearson",0.0466666666666667
"4",50,0,1,"pearson",0.0503333333333333
"5",8,0.05,1,"pearson",0.0616666666666667
"6",15,0.05,1,"pearson",0.051
"7",25,0.05,1,"pearson",0.055
"8",50,0.05,1,"pearson",0.0706666666666667
"9",8,0.1,1,"pearson",0.061
"10",15,0.1,1,"pearson",0.0663333333333333
"11",25,0.1,1,"pearson",0.0756666666666667
"12",50,0.1,1,"pearson",0.104666666666667
"13",8,0.15,1,"pearson",0.0553333333333333
"14",15,0.15,1,"pearson",0.0813333333333333
"15",25,0.15,1,"pearson",0.107333333333333
"16",50,0.15,1,"pearson",0.183
"17",8,0.2,1,"pearson",0.0756666666666667
"18",15,0.2,1,"pearson",0.108666666666667
"19",25,0.2,1,"pearson",0.158
"20",50,0.2,1,"pearson",0.299
"21",8,0.25,1,"pearson",0.0896666666666667
"22",15,0.25,1,"pearson",0.161666666666667
"23",25,0.25,1,"pearson",0.239666666666667
"24",50,0.25,1,"pearson",0.417666666666667
"25",8,0.3,1,"pearson",0.108333333333333
"26",15,0.3,1,"pearson",0.183
"27",25,0.3,1,"pearson",0.299333333333333
"28",50,0.3,1,"pearson",0.562333333333333
"29",8,0.35,1,"pearson",0.136333333333333
"30",15,0.35,1,"pearson",0.246333333333333
"31",25,0.35,1,"pearson",0.420333333333333
"32",50,0.35,1,"pearson",0.717333333333333
"33",8,0.4,1,"pearson",0.166333333333333
"34",15,0.4,1,"pearson",0.338333333333333
"35",25,0.4,1,"pearson",0.531
"36",50,0.4,1,"pearson",0.843
"37",8,0.45,1,"pearson",0.202333333333333
"38",15,0.45,1,"pearson",0.398666666666667
"39",25,0.45,1,"pearson",0.634333333333333
"40",50,0.45,1,"pearson",0.914
"41",8,0.5,1,"pearson",0.252
"42",15,0.5,1,"pearson",0.512666666666667
"43",25,0.5,1,"pearson",0.758333333333333
"44",50,0.5,1,"pearson",0.969
"45",8,0.55,1,"pearson",0.309333333333333
"46",15,0.55,1,"pearson",0.600333333333333
"47",25,0.55,1,"pearson",0.835666666666667
"48",50,0.55,1,"pearson",0.988333333333333
"49",8,0.6,1,"pearson",0.390666666666667
"50",15,0.6,1,"pearson",0.698333333333333
"51",25,0.6,1,"pearson",0.916
"52",50,0.6,1,"pearson",0.997
"53",8,0.65,1,"pearson",0.458333333333333
"54",15,0.65,1,"pearson",0.799666666666667
"55",25,0.65,1,"pearson",0.963333333333333
"56",50,0.65,1,"pearson",0.999666666666667
"57",8,0.7,1,"pearson",0.551666666666667
"58",15,0.7,1,"pearson",0.886333333333333
"59",25,0.7,1,"pearson",0.985333333333333
"60",50,0.7,1,"pearson",1
"61",8,0.75,1,"pearson",0.649
"62",15,0.75,1,"pearson",0.939333333333333
"63",25,0.75,1,"pearson",0.995666666666667
"64",50,0.75,1,"pearson",1
"65",8,0.8,1,"pearson",0.764666666666667
"66",15,0.8,1,"pearson",0.977666666666667
"67",25,0.8,1,"pearson",0.999
"68",50,0.8,1,"pearson",1
"69",8,0.85,1,"pearson",0.855333333333333
"70",15,0.85,1,"pearson",0.993
"71",25,0.85,1,"pearson",1
"72",50,0.85,1,"pearson",1
"73",8,0.9,1,"pearson",0.948666666666667
"74",15,0.9,1,"pearson",0.999666666666667
"75",25,0.9,1,"pearson",1
"76",50,0.9,1,"pearson",1
"77",8,0.95,1,"pearson",0.992
"78",15,0.95,1,"pearson",0.999666666666667
"79",25,0.95,1,"pearson",1
"80",50,0.95,1,"pearson",1
"81",8,0,2,"pearson",0.052
"82",15,0,2,"pearson",0.05
"83",25,0,2,"pearson",0.0476666666666667
"84",50,0,2,"pearson",0.047
"85",8,0.05,2,"pearson",0.0526666666666667
"86",15,0.05,2,"pearson",0.0486666666666667
"87",25,0.05,2,"pearson",0.053
"88",50,0.05,2,"pearson",0.067
"89",8,0.1,2,"pearson",0.0533333333333333
"90",15,0.1,2,"pearson",0.064
"91",25,0.1,2,"pearson",0.0703333333333333
"92",50,0.1,2,"pearson",0.106
"93",8,0.15,2,"pearson",0.0613333333333333
"94",15,0.15,2,"pearson",0.079
"95",25,0.15,2,"pearson",0.099
"96",50,0.15,2,"pearson",0.170333333333333
"97",8,0.2,2,"pearson",0.0723333333333333
"98",15,0.2,2,"pearson",0.0933333333333333
"99",25,0.2,2,"pearson",0.154666666666667
"100",50,0.2,2,"pearson",0.262666666666667
"101",8,0.25,2,"pearson",0.08
"102",15,0.25,2,"pearson",0.148666666666667
"103",25,0.25,2,"pearson",0.215333333333333
"104",50,0.25,2,"pearson",0.401333333333333
"105",8,0.3,2,"pearson",0.101
"106",15,0.3,2,"pearson",0.179333333333333
"107",25,0.3,2,"pearson",0.289333333333333
"108",50,0.3,2,"pearson",0.548666666666667
"109",8,0.35,2,"pearson",0.138666666666667
"110",15,0.35,2,"pearson",0.235333333333333
"111",25,0.35,2,"pearson",0.385333333333333
"112",50,0.35,2,"pearson",0.675
"113",8,0.4,2,"pearson",0.157
"114",15,0.4,2,"pearson",0.314333333333333
"115",25,0.4,2,"pearson",0.496333333333333
"116",50,0.4,2,"pearson",0.803666666666667
"117",8,0.45,2,"pearson",0.184333333333333
"118",15,0.45,2,"pearson",0.381333333333333
"119",25,0.45,2,"pearson",0.601333333333333
"120",50,0.45,2,"pearson",0.898333333333333
"121",8,0.5,2,"pearson",0.244
"122",15,0.5,2,"pearson",0.449333333333333
"123",25,0.5,2,"pearson",0.714666666666667
"124",50,0.5,2,"pearson",0.953
"125",8,0.55,2,"pearson",0.276
"126",15,0.55,2,"pearson",0.567
"127",25,0.55,2,"pearson",0.814
"128",50,0.55,2,"pearson",0.989666666666667
"129",8,0.6,2,"pearson",0.34
"130",15,0.6,2,"pearson",0.655
"131",25,0.6,2,"pearson",0.89
"132",50,0.6,2,"pearson",0.994666666666667
"133",8,0.65,2,"pearson",0.421333333333333
"134",15,0.65,2,"pearson",0.768666666666667
"135",25,0.65,2,"pearson",0.938666666666667
"136",50,0.65,2,"pearson",0.999333333333333
"137",8,0.7,2,"pearson",0.496333333333333
"138",15,0.7,2,"pearson",0.856333333333333
"139",25,0.7,2,"pearson",0.976666666666667
"140",50,0.7,2,"pearson",1
"141",8,0.75,2,"pearson",0.601333333333333
"142",15,0.75,2,"pearson",0.921666666666667
"143",25,0.75,2,"pearson",0.994
"144",50,0.75,2,"pearson",1
"145",8,0.8,2,"pearson",0.714333333333333
"146",15,0.8,2,"pearson",0.961333333333333
"147",25,0.8,2,"pearson",0.998666666666667
"148",50,0.8,2,"pearson",1
"149",8,0.85,2,"pearson",0.804333333333333
"150",15,0.85,2,"pearson",0.992333333333333
"151",25,0.85,2,"pearson",1
"152",50,0.85,2,"pearson",1
"153",8,0.9,2,"pearson",0.909666666666667
"154",15,0.9,2,"pearson",0.999666666666667
"155",25,0.9,2,"pearson",1
"156",50,0.9,2,"pearson",1
"157",8,0.95,2,"pearson",0.987
"158",15,0.95,2,"pearson",1
"159",25,0.95,2,"pearson",1
"160",50,0.95,2,"pearson",1
"161",8,0,3,"pearson",0.0523333333333333
"162",15,0,3,"pearson",0.0486666666666667
"163",25,0,3,"pearson",0.0496666666666667
"164",50,0,3,"pearson",0.0556666666666667
"165",8,0.05,3,"pearson",0.0523333333333333
"166",15,0.05,3,"pearson",0.0526666666666667
"167",25,0.05,3,"pearson",0.0616666666666667
"168",50,0.05,3,"pearson",0.061
"169",8,0.1,3,"pearson",0.049
"170",15,0.1,3,"pearson",0.0633333333333333
"171",25,0.1,3,"pearson",0.071
"172",50,0.1,3,"pearson",0.098
"173",8,0.15,3,"pearson",0.0623333333333333
"174",15,0.15,3,"pearson",0.077
"175",25,0.15,3,"pearson",0.0993333333333333
"176",50,0.15,3,"pearson",0.152333333333333
"177",8,0.2,3,"pearson",0.0766666666666667
"178",15,0.2,3,"pearson",0.0976666666666667
"179",25,0.2,3,"pearson",0.137666666666667
