"corre","n","k","X..i.."
"1",0,8,1,0.0276666666666667
"2",0.05,8,1,0.0406666666666667
"3",0.1,8,1,0.0473333333333333
"4",0.15,8,1,0.0303333333333333
"5",0.2,8,1,0.049
"6",0.25,8,1,0.0476666666666667
"7",0.3,8,1,0.0323333333333333
"8",0.35,8,1,0.0503333333333333
"9",0.4,8,1,0.0533333333333333
"10",0.45,8,1,0.0433333333333333
"11",0.5,8,1,0.0603333333333333
"12",0.55,8,1,0.0616666666666667
"13",0.6,8,1,0.044
"14",0.65,8,1,0.0583333333333333
"15",0.7,8,1,0.0753333333333333
"16",0.75,8,1,0.0506666666666667
"17",0.8,8,1,0.0726666666666667
"18",0.85,8,1,0.0913333333333333
"19",0.9,8,1,0.067
"20",0.95,8,1,0.0866666666666667
"21",0,15,1,0.0983333333333333
"22",0.05,15,1,0.0803333333333333
"23",0.1,15,1,0.107333333333333
"24",0.15,15,1,0.124333333333333
"25",0.2,15,1,0.091
"26",0.25,15,1,0.121
"27",0.3,15,1,0.157333333333333
"28",0.35,15,1,0.114666666666667
"29",0.4,15,1,0.151
"30",0.45,15,1,0.189666666666667
"31",0.5,15,1,0.139
"32",0.55,15,1,0.183
"33",0.6,15,1,0.249
"34",0.65,15,1,0.187666666666667
"35",0.7,15,1,0.239
"36",0.75,15,1,0.318333333333333
"37",0.8,15,1,0.217333333333333
"38",0.85,15,1,0.273
"39",0.9,15,1,0.363333333333333
"40",0.95,15,1,0.262333333333333
"41",0,25,1,0.327333333333333
"42",0.05,25,1,0.444666666666667
"43",0.1,25,1,0.327
"44",0.15,25,1,0.402666666666667
"45",0.2,25,1,0.530333333333333
"46",0.25,25,1,0.423666666666667
"47",0.3,25,1,0.496666666666667
"48",0.35,25,1,0.651333333333333
"49",0.4,25,1,0.516
"50",0.45,25,1,0.592666666666667
"51",0.5,25,1,0.763333333333333
"52",0.55,25,1,0.625666666666667
"53",0.6,25,1,0.695
"54",0.65,25,1,0.851666666666667
"55",0.7,25,1,0.779333333333333
"56",0.75,25,1,0.833333333333333
"57",0.8,25,1,0.947666666666667
"58",0.85,25,1,0.924666666666667
"59",0.9,25,1,0.950333333333333
"60",0.95,25,1,0.991333333333333
"61",0,50,1,0.0503333333333333
"62",0.05,50,1,0.0526666666666667
"63",0.1,50,1,0.0533333333333333
"64",0.15,50,1,0.0506666666666667
"65",0.2,50,1,0.0513333333333333
"66",0.25,50,1,0.0506666666666667
"67",0.3,50,1,0.053
"68",0.35,50,1,0.062
"69",0.4,50,1,0.063
"70",0.45,50,1,0.0696666666666667
"71",0.5,50,1,0.075
"72",0.55,50,1,0.0793333333333333
"73",0.6,50,1,0.092
"74",0.65,50,1,0.095
"75",0.7,50,1,0.106333333333333
"76",0.75,50,1,0.126333333333333
"77",0.8,50,1,0.135333333333333
"78",0.85,50,1,0.157
"79",0.9,50,1,0.149
"80",0.95,50,1,0.157333333333333
"81",0,8,2,0.186333333333333
"82",0.05,8,2,0.203333333333333
"83",0.1,8,2,0.211333333333333
"84",0.15,8,2,0.254
"85",0.2,8,2,0.260333333333333
"86",0.25,8,2,0.27
"87",0.3,8,2,0.309
"88",0.35,8,2,0.317333333333333
"89",0.4,8,2,0.334666666666667
"90",0.45,8,2,0.412666666666667
"91",0.5,8,2,0.399666666666667
"92",0.55,8,2,0.412
"93",0.6,8,2,0.495666666666667
"94",0.65,8,2,0.503333333333333
"95",0.7,8,2,0.521333333333333
"96",0.75,8,2,0.604333333333333
